pixel,r,g,b
1,0,4,0
2,0,3,0
3,0,4,0
4,0,4,1
5,0,3,0
6,0,3,0
7,0,3,0
8,0,3,0
9,0,3,0
10,0,4,0
11,0,4,0
12,0,4,0
13,0,4,0
14,0,4,0
15,0,4,0
16,0,4,0
17,0,4,0
18,0,4,0
19,0,4,0
20,0,4,0
21,0,3,0
22,1,3,0
23,0,3,0
24,0,4,0
25,0,4,0
26,0,4,0
27,0,4,1
28,0,4,1
29,0,4,0
30,0,4,0
31,0,3,0
32,0,4,0
33,0,4,0
34,0,4,0
35,0,4,0
36,0,4,1
37,1,4,1
38,5,4,2
39,34,4,2
40,74,4,3
41,90,4,3
42,52,4,2
43,11,4,2
44,1,4,1
45,2,4,3
46,11,4,2
47,40,4,3
48,110,4,5
49,179,4,12
50,230,4,15
51,252,4,20
52,255,5,27
53,255,5,28
54,255,4,22
55,254,5,18
56,252,4,17
57,229,4,16
58,150,4,14
59,47,4,14
60,4,4,10
61,1,3,7
62,0,3,5
63,0,3,4
64,0,4,4
65,0,4,4
66,0,3,4
67,1,3,3
68,1,4,3
69,2,4,4
70,2,4,4
71,1,4,4
72,0,4,6
73,0,4,5
74,0,4,5
75,0,4,5
76,0,4,5
77,0,3,5
78,0,4,3
79,0,4,4
80,0,4,4
81,0,4,3
82,0,4,4
83,0,4,3
84,0,3,2
85,0,3,1
86,0,3,0
87,0,4,1
88,0,3,1
89,0,4,0
90,0,4,0
91,0,4,1
92,0,4,0
93,0,4,0
94,0,4,1
95,0,3,0
96,0,3,0
97,0,4,0
98,0,3,0
99,0,4,0
100,0,4,0
101,0,4,0
102,0,3,0
103,0,3,0
104,1,3,0
105,0,3,0
106,0,4,0
107,0,4,0
108,0,4,0
109,0,4,0
110,0,3,0
111,0,3,0
112,0,3,0
113,0,3,0
114,0,3,0
115,0,4,0
116,0,4,0
117,0,4,0
118,0,4,0
119,0,3,0
120,0,3,0
121,0,3,0
122,0,4,0
123,0,4,0
124,0,3,0
125,0,3,0
126,0,4,0
127,0,4,0
128,0,4,0
129,0,4,0
130,0,4,0
131,0,4,0
132,0,3,0
133,0,4,0
134,0,4,0
135,0,3,0
136,0,4,0
137,0,4,0
138,0,4,0
139,0,4,0
140,0,4,0
141,0,4,0
142,0,3,0
143,0,3,0
144,0,3,0
145,0,4,0
146,0,4,0
147,0,3,0
148,0,4,0
149,0,4,0
150,0,4,0
151,0,4,0
152,0,4,0
153,0,4,0
154,0,3,0
155,0,4,0
156,0,3,0
157,0,3,0
158,0,3,0
159,0,4,0
160,0,4,0
161,0,3,0
162,0,4,0
163,0,4,0
164,0,4,0
165,0,4,0
166,0,4,0
167,0,4,0
168,0,3,0
169,0,3,0
170,0,3,0
171,0,4,0
172,0,4,0
173,0,4,0
174,0,4,0
175,0,3,0
176,0,4,0
177,0,3,0
178,0,3,0
179,0,4,0
180,0,4,0
181,0,4,0
182,0,4,0
183,0,4,0
184,0,4,0
185,0,4,0
186,0,4,0
187,0,3,0
188,0,3,0
189,0,3,0
190,0,3,0
191,0,4,0
192,0,4,0
193,0,4,0
194,0,4,0
195,0,4,0
196,0,4,0
197,0,4,0
198,0,4,0
199,0,4,0
200,0,4,0
201,0,4,0
202,0,4,0
203,0,3,0
204,0,4,0
205,0,4,0
206,0,4,0
207,0,3,0
208,0,4,0
209,0,4,0
210,0,3,0
211,0,4,0
212,0,4,0
213,0,3,0
214,0,3,0
215,0,4,0
216,0,4,0
217,0,3,0
218,0,3,0
219,0,4,0
220,0,4,0
221,0,3,0
222,0,3,0
223,0,3,0
224,0,4,0
225,0,4,0
226,0,4,0
227,0,4,0
228,0,3,0
229,0,3,0
230,0,3,0
231,0,4,0
232,0,4,0
233,0,4,0
234,0,4,0
